AgentID,longitude,latitude,mode,ROW,COL,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated,current_proximity_to_plantations,current_proximity_to_water_sources
bull_0,8570909.0,1049239.0,TargetedWalk,,,1,74.17567747864895,0,False,False,,,,,0,0,0,0,47.75981574503821,47.75981574503821
bull_0,8570914.272108797,1049232.524418318,RandomWalk,74,121,0.9996527777777777,74.17567747864895,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570912.578994077,1049233.3075411522,RandomWalk,75,122,0.9993055555555554,74.17567747864895,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.25795714,1049231.2448279879,RandomWalk,75,122,0.9989583333333332,74.17567747864895,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.547098901,1049231.1775247192,RandomWalk,75,122,0.9986111111111109,74.17567747864895,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.547098901,1049231.1775247192,ForagingMode,75,122,0.9982638888888886,74.17567747864895,0,False,True,8571447.378559126,1049399.7699744648,,food:foraging,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8571014.753481932,1049248.2067863555,ForagingMode,75,122,0.9979166666666663,74.17567747864895,0,False,True,8571447.378559126,1049399.7699744648,559.8209017503871,forest:foraging,0,0,0,0,44.94441010848846,98.95453501482385
bull_0,8571023.11242788,1049254.3454219766,ForagingMode,74,122,0.9975694444444441,74.17567747864895,0,False,True,8571447.378559126,1049399.7699744648,458.40577811217673,forest:foraging,0,0,0,0,44.94441010848846,98.95453501482385
bull_0,8571083.18846658,1049270.440988232,ForagingMode,74,122,0.9972222222222218,74.17567747864895,8.0,False,True,8571447.378559126,1049399.7699744648,448.4975480303282,forest:foraging,0,0,0,0,42.720018726587654,97.75479527879949
bull_0,8571085.015326608,1049272.1465995498,ForagingMode,74,123,0.9968749999999995,74.17567747864895,8.0,False,True,8571447.378559126,1049399.7699744648,386.471745652847,forest:foraging,0,0,0,0,42.720018726587654,97.75479527879949
bull_0,8571090.447937828,1049273.0342444791,ForagingMode,74,123,0.9965277777777772,74.17567747864895,8.0,False,True,8571447.378559126,1049399.7699744648,384.180736249627,forest:foraging,0,0,0,0,42.720018726587654,97.75479527879949
bull_0,8571112.063025685,1049279.5486658495,ForagingMode,74,123,0.996180555555555,74.17567747864895,8.0,False,True,8571447.378559126,1049399.7699744648,378.76300462847496,forest:foraging,0,0,0,0,41.78516483155236,97.24710792614863
bull_0,8571159.97120719,1049279.7286853264,ForagingMode,74,123,0.9958333333333327,74.17567747864895,10.0,False,True,8571447.378559126,1049399.7699744648,356.2157632835758,forest:foraging,0,0,0,0,39.92492955535426,96.25487000666512
