boundary_patch_id,num_visiting_trajectories
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,254.0
13,0.0
14,79.0
15,677.0
16,907.0
17,0.0
18,629.0
19,0.0
20,10.0
21,359.0
22,206.0
23,639.0
24,290.0
25,70.0
26,2602.0
27,920.0
28,78.0
29,180.0
30,859.0
31,10.0
32,257.0
33,0.0
34,1895.0
35,0.0
36,1169.0
37,20.0
38,0.0
39,211.0
40,11.0
41,0.0
42,1468.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,93.0
50,0.0
51,0.0
52,0.0
53,0.0
54,2241.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,8.0
61,74.0
62,0.0
63,483.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,6.0
72,218.0
73,328.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,29.0
91,0.0
92,0.0
93,0.0
94,0.0
95,6.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,60.0
103,0.0
104,22.0
105,97.0
106,0.0
107,0.0
108,0.0
109,0.0
110,128.0
111,0.0
112,1740.0
113,0.0
114,0.0
115,26.0
116,1387.0
117,14.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,2763.0
125,0.0
126,0.0
127,0.0
128,67.0
129,0.0
130,63.0
131,0.0
132,0.0
133,0.0
134,32.0
135,26.0
136,0.0
137,0.0
138,109.0
139,0.0
140,142.0
141,0.0
142,0.0
143,0.0
144,0.0
145,30.0
146,279.0
147,0.0
148,0.0
149,19.0
150,23.0
151,0.0
152,0.0
153,0.0
154,0.0
155,15.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,8.0
163,54.0
164,0.0
165,491.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,32.0
174,33.0
175,0.0
176,0.0
177,0.0
178,0.0
179,11.0
180,0.0
181,0.0
182,395.0
183,50.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,24.0
194,733.0
195,0.0
196,0.0
197,0.0
198,0.0
199,25.0
200,16.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,6.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,6.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
