AgentID,longitude,latitude,mode,ROW,COL,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated,current_proximity_to_plantations,current_proximity_to_water_sources
bull_0,8570910.0,1049231.0,RandomWalk,,,1,73.4671386305957,0,False,False,,,,,0,0,0,0,47.75981574503821,47.75981574503821
bull_0,8570913.594582725,1049223.4629406054,RandomWalk,75,122,0.9996527777777777,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570911.764458662,1049223.824278036,RandomWalk,75,122,0.9993055555555554,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570911.937336702,1049221.6595864587,RandomWalk,75,122,0.9989583333333332,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570912.234194525,1049221.6624363363,RandomWalk,75,122,0.9986111111111109,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570912.69808265,1049220.6050526,RandomWalk,75,122,0.9982638888888886,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570913.046763888,1049218.6608960745,RandomWalk,75,122,0.9979166666666663,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570913.919554768,1049220.9267882633,RandomWalk,75,122,0.9975694444444441,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570913.988361556,1049222.0886962963,RandomWalk,75,122,0.9972222222222218,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570908.764204932,1049225.5991201454,RandomWalk,75,122,0.9968749999999995,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570908.274058547,1049229.068044784,RandomWalk,75,121,0.9965277777777772,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570905.774649302,1049227.516645672,RandomWalk,75,121,0.996180555555555,73.4671386305957,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570901.47685483,1049246.0901648828,RandomWalk,75,121,0.9958333333333327,73.4671386305957,0,False,False,,,,,0,0,0,0,48.703182647543684,98.0612053770501
bull_0,8570901.971702129,1049247.6299876035,RandomWalk,74,121,0.9954861111111104,73.4671386305957,0,False,False,,,,,0,0,0,0,48.703182647543684,98.0612053770501
bull_0,8570901.971702129,1049247.6299876035,ForagingMode,74,121,0.9951388888888881,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,,food:foraging,0,0,0,0,48.703182647543684,98.0612053770501
bull_0,8570937.44772414,1049257.9682281625,ForagingMode,74,121,0.9947916666666659,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,518.4787305695381,forest:foraging,0,0,0,0,46.8187996428785,98.48857801796105
bull_0,8570941.729610942,1049256.5851533893,ForagingMode,74,122,0.9944444444444436,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,484.7992857534791,forest:foraging,0,0,0,0,46.8187996428785,98.48857801796105
bull_0,8570988.586132374,1049248.8902713049,ForagingMode,74,122,0.9940972222222213,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,480.3551150661177,forest:foraging,0,0,0,0,45.880278987817846,98.71676655968832
bull_0,8570994.363468193,1049251.0662541247,ForagingMode,74,122,0.993749999999999,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,432.8728042167139,forest:foraging,0,0,0,0,45.880278987817846,98.71676655968832
bull_0,8571036.225740071,1049242.189312916,ForagingMode,74,122,0.9934027777777767,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,427.5068340153862,forest:foraging,0,0,0,0,44.01136216933077,99.12618221237011
bull_0,8571061.40652099,1049251.3131871892,ForagingMode,74,122,0.9930555555555545,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,384.7693424585591,forest:foraging,0,0,0,0,43.08131845707603,98.6154146165801
bull_0,8571151.065818053,1049255.4448998575,ForagingMode,74,123,0.9927083333333322,73.4671386305957,0,False,True,8571416.369902227,1049182.709376173,361.53213536934794,forest:foraging,0,0,0,0,41.23105625617661,97.6165969494942
bull_0,8571205.483843286,1049218.3131441313,ForagingMode,74,123,0.9923611111111099,73.4671386305957,8.0,False,True,8571416.369902227,1049182.709376173,275.0940084502548,forest:foraging,0,0,0,0,39.81205847478876,97.52948272189288
bull_0,8571269.491717096,1049210.5565514478,ForagingMode,75,124,0.9920138888888876,73.4671386305957,8.0,False,True,8571416.369902227,1049182.709376173,213.8704237352487,forest:foraging,0,0,0,0,38.01315561749642,96.60227740586657
bull_0,8571290.004689578,1049194.132308215,ForagingMode,75,124,0.9916666666666654,73.4671386305957,8.0,False,True,8571416.369902227,1049182.709376173,149.49470371239724,forest:foraging,0,0,0,0,37.589892258425,97.04638066409278
bull_0,8571302.38282635,1049186.4628136358,ForagingMode,75,124,0.9913194444444431,73.4671386305957,8.0,False,True,8571416.369902227,1049182.709376173,126.88045690446505,forest:foraging,0,0,0,0,37.589892258425,97.04638066409278
bull_0,8571303.978541564,1049185.8436518435,ForagingMode,75,124,0.9909722222222208,73.4671386305957,8.0,False,True,8571416.369902227,1049182.709376173,114.0488568975987,forest:foraging,0,0,0,0,37.589892258425,97.04638066409278
