AgentID,longitude,latitude,mode,food_consumed,visit_water_source,target_present,target_lon,target_lat,target_name
bull_0,8571308.360406002,1042607.1266485305,TargetedWalk,0,True,False,,,
bull_0,8571308.360406002,1042607.1266485305,ForagingMode,14.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571339.3690629,1042607.1266485305,ForagingMode,14.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571370.377719799,1042607.1266485305,ForagingMode,18.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571401.386376698,1042607.1266485305,ForagingMode,22.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571432.395033596,1042607.1266485305,ForagingMode,34.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571463.403690495,1042607.1266485305,ForagingMode,54.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571494.412347393,1042607.1266485305,ForagingMode,54.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571525.421004292,1042607.1266485305,ForagingMode,54.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571556.42966119,1042607.1266485305,ForagingMode,79.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571587.438318089,1042607.1266485305,ForagingMode,79.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571618.446974987,1042607.1266485305,ForagingMode,84.0,True,True,8571633.430500519,1042608.8741136232,food
bull_0,8571618.446974987,1042607.1266485305,RandomWalk,84.0,True,False,,,food
bull_0,8571618.446974987,1042607.1266485305,RandomWalk,84.0,True,False,,,
bull_0,8571618.446974987,1042607.1266485305,RandomWalk,84.0,True,False,,,
bull_0,8571618.446974987,1042607.1266485305,ForagingMode,84.0,True,True,8571726.456471214,1042577.8654567243,food
bull_0,8571649.455631886,1042607.1266485305,ForagingMode,95.0,True,True,8571726.456471214,1042577.8654567243,food
bull_0,8571680.464288784,1042607.1266485305,ForagingMode,97.0,True,True,8571726.456471214,1042577.8654567243,food
bull_0,8571711.472945683,1042576.1179916316,ForagingMode,118.0,True,True,8571726.456471214,1042577.8654567243,food
bull_0,8571711.472945683,1042576.1179916316,RandomWalk,118.0,True,False,,,food
bull_0,8571711.472945683,1042576.1179916316,RandomWalk,118.0,True,False,,,
bull_0,8571711.472945683,1042576.1179916316,RandomWalk,118.0,True,False,,,
bull_0,8571711.472945683,1042576.1179916316,ForagingMode,118.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571742.481602581,1042576.1179916316,ForagingMode,138.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571773.49025948,1042576.1179916316,ForagingMode,162.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571804.498916378,1042576.1179916316,ForagingMode,162.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571835.507573277,1042576.1179916316,ForagingMode,177.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571866.516230175,1042545.1093347328,ForagingMode,191.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571897.524887074,1042545.1093347328,ForagingMode,211.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571928.533543972,1042545.1093347328,ForagingMode,234.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571959.54220087,1042514.1006778339,ForagingMode,254.0,True,True,8571974.525726406,1042515.8481429267,food
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,True,8571974.525726406,1042515.8481429267,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,False,,,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,False,,,
bull_0,8571959.54220087,1042514.1006778339,RandomWalk,254.0,True,False,,,
bull_0,8571959.54220087,1042514.1006778339,ForagingMode,254.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8571990.55085777,1042483.092020935,ForagingMode,254.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8572021.559514668,1042452.0833640362,ForagingMode,254.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8572021.559514668,1042421.0747071373,ForagingMode,259.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8572052.568171566,1042390.0660502384,ForagingMode,265.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8572021.559514668,1042390.0660502384,ForagingMode,269.0,True,True,8572036.543040203,1042391.8135153315,food
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,food
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
bull_0,8572021.559514668,1042390.0660502384,RandomWalk,269.0,True,False,,,
