AgentID,longitude,latitude,mode,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated
bull_0,8572579.0,1045846.0,TargetedWalk,1,62.432378683784115,0,False,False,,,,,0,0,0,0
bull_0,8572579.0,1045846.0,ForagingMode,0.999652778,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,,food:foraging,0,0,0,0
bull_0,8572586.908367993,1045803.5591885188,ForagingMode,0.9993055559999999,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,572.290595863702,food:foraging,0,0,0,0
bull_0,8572606.3910071,1045771.9852647583,ForagingMode,0.9989583339999999,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,food:foraging,0,0,0,0
bull_0,8572609.805441892,1045771.4954246782,RandomWalk,0.9986111119999999,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,,0,0,0,0
bull_0,8572605.75310049,1045773.6996677343,RandomWalk,0.9982638899999998,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,,0,0,0,0
bull_0,8572608.26072388,1045771.9156886848,RandomWalk,0.9979166679999998,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,,0,0,0,0
bull_0,8572604.46330715,1045761.4783822265,RandomWalk,0.9975694459999997,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,,0,0,0,0
bull_0,8572604.806149244,1045759.3523493775,RandomWalk,0.9972222239999997,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,529.3643660020994,,0,0,0,0
bull_0,8572610.051858662,1045742.9969369337,ForagingMode,0.9968750019999997,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,484.1850895506818,food:foraging,0,0,0,0
bull_0,8572610.394894192,1045732.6746683649,ForagingMode,0.9965277799999996,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,467.6404635366825,food:foraging,0,0,0,0
bull_0,8572669.398650872,1045631.1786856377,ForagingMode,0.9961805579999996,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,457.3124969321212,food:foraging,0,0,0,0
bull_0,8572667.854726043,1045609.9765287967,ForagingMode,0.9958333359999996,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,358.234398657396,food:foraging,0,0,0,0
bull_0,8572677.168580605,1045580.420416755,ForagingMode,0.9954861139999995,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,337.0038676184932,food:foraging,0,0,0,0
bull_0,8572675.759872088,1045575.3076814092,ForagingMode,0.9951388919999995,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,309.1154863549058,food:foraging,0,0,0,0
bull_0,8572672.654012557,1045564.1434311981,ForagingMode,0.9947916699999995,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,303.8400552733793,food:foraging,0,0,0,0
bull_0,8572675.45662512,1045546.1524570517,ForagingMode,0.9944444479999994,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,food:foraging,0,0,0,0
bull_0,8572685.654933194,1045542.7280134682,RandomWalk,0.9940972259999994,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572680.503568307,1045543.0035505949,RandomWalk,0.9937500039999994,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572685.439454658,1045543.9051239343,RandomWalk,0.9934027819999993,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572686.177862654,1045544.5352118093,RandomWalk,0.9930555599999993,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572683.084637731,1045544.9170272237,RandomWalk,0.9927083379999992,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572684.463144837,1045543.34257625,RandomWalk,0.9923611159999992,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572684.157681497,1045542.7554332651,RandomWalk,0.9920138939999992,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572685.322381595,1045543.4522438999,RandomWalk,0.9916666719999991,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,292.31925572376537,,0,0,0,0
bull_0,8572679.677814607,1045520.9817902842,ForagingMode,0.9913194499999991,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,274.38802573603544,food:foraging,0,0,0,0
bull_0,8572679.32237517,1045520.5798636328,ForagingMode,0.9909722279999991,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,251.22874897483885,food:foraging,0,0,0,0
bull_0,8572650.377450341,1045474.5487397911,ForagingMode,0.990625005999999,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,250.75998454132665,food:foraging,0,0,0,0
bull_0,8572656.370490434,1045439.4738589616,ForagingMode,0.990277783999999,62.432378683784115,0,False,True,8572625.70752128,1045275.6186069218,200.4539926350069,food:foraging,0,0,0,0
bull_0,8572636.506400952,1045409.1749762297,ForagingMode,0.989930561999999,62.432378683784115,13.0,False,True,8572625.70752128,1045275.6186069218,166.69961397179085,food:foraging,0,0,0,0
