AgentID,longitude,latitude,mode,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated
bull_0,8572586.0,1045853.0,RandomWalk,1,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572590.36344586,1045862.065734135,RandomWalk,0.999652778,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572592.946198134,1045860.1058824137,RandomWalk,0.9993055559999999,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572591.337467764,1045858.6047798869,RandomWalk,0.9989583339999999,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572592.77467211,1045859.2302738471,RandomWalk,0.9986111119999999,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572588.116048878,1045854.6217457365,RandomWalk,0.9982638899999998,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572588.341431811,1045855.897984551,RandomWalk,0.9979166679999998,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572590.44706134,1045856.77385836,RandomWalk,0.9975694459999997,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572585.597689567,1045860.1833762466,RandomWalk,0.9972222239999997,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572588.595973862,1045860.6292691255,RandomWalk,0.9968750019999997,71.0942034137379,0,False,False,,,,,0,0,0,0
bull_0,8572588.595973862,1045860.6292691255,ForagingMode,0.9965277799999996,71.0942034137379,0,False,True,8572501.672893684,1046298.9042845828,,food:foraging,0,0,0,0
bull_0,8572585.851864474,1045880.2432798432,ForagingMode,0.9961805579999996,71.0942034137379,0,False,True,8572501.672893684,1046298.9042845828,446.81160575988184,food:foraging,0,0,0,0
bull_0,8572565.17410712,1045932.9121843722,ForagingMode,0.9958333359999996,71.0942034137379,0,False,True,8572501.672893684,1046298.9042845828,427.0399700411437,food:foraging,0,0,0,0
bull_0,8572593.837269017,1046027.82255346,ForagingMode,0.9954861139999995,71.0942034137379,0,False,True,8572501.672893684,1046298.9042845828,371.46012104169955,food:foraging,0,0,0,0
bull_0,8572588.56829716,1046041.0677229902,ForagingMode,0.9951388919999995,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,286.3207589908187,food:foraging,0,0,0,0
bull_0,8572588.323035242,1046041.3925647173,ForagingMode,0.9947916699999995,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,272.085471202065,food:foraging,0,0,0,0
bull_0,8572589.301053071,1046039.9848895431,RandomWalk,0.9944444479999994,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,272.085471202065,,0,0,0,0
bull_0,8572588.801422099,1046048.9639213947,ForagingMode,0.9940972259999994,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,273.34583853658756,food:foraging,0,0,0,0
bull_0,8572574.898836141,1046081.5230685441,ForagingMode,0.9937500039999994,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,264.69145361017735,food:foraging,0,0,0,0
bull_0,8572555.030023383,1046152.0209944226,ForagingMode,0.9934027819999993,71.0942034137379,7.0,False,True,8572501.672893684,1046298.9042845828,229.38315486364968,food:foraging,0,0,0,0
bull_0,8572530.575030526,1046205.6027987807,ForagingMode,0.9930555599999993,71.0942034137379,35.0,False,True,8572501.672893684,1046298.9042845828,156.27438759427295,food:foraging,0,0,0,0
bull_0,8572518.918661367,1046227.1916111575,ForagingMode,0.9927083379999992,71.0942034137379,35.0,False,True,8572501.672893684,1046298.9042845828,97.67548703186887,food:foraging,0,0,0,0
bull_0,8572517.855493465,1046249.0624681795,ForagingMode,0.9923611159999992,71.0942034137379,35.0,False,True,8572501.672893684,1046298.9042845828,73.75719648126638,food:foraging,0,0,0,0
bull_0,8572516.261372888,1046281.2122371338,ForagingMode,0.9920138939999992,71.0942034137379,35.0,False,True,8572501.672893684,1046298.9042845828,52.40308386017948,food:foraging,0,0,0,0
bull_0,8572516.261372888,1046281.2122371338,RandomWalk,0.9916666719999991,71.0942034137379,35.0,False,False,,,,food:foraging,0,0,0,0
bull_0,8572518.186569173,1046284.8638450583,RandomWalk,0.9913194499999991,71.0942034137379,41.0,False,False,,,,,0,0,0,0
bull_0,8572518.186569173,1046284.8638450583,ForagingMode,0.9909722279999991,71.0942034137379,41.0,False,True,8572563.690207483,1046857.0601087615,,food:foraging,0,0,0,0
bull_0,8572479.114161279,1046402.3296462625,ForagingMode,0.990625005999999,71.0942034137379,62.0,False,True,8572563.690207483,1046857.0601087615,574.0027397978854,food:foraging,0,0,0,0
bull_0,8572464.749719655,1046454.7732907998,ForagingMode,0.990277783999999,71.0942034137379,85.0,False,True,8572563.690207483,1046857.0601087615,462.5288111200864,food:foraging,0,0,0,0
bull_0,8572460.580469133,1046490.1113884401,ForagingMode,0.989930561999999,71.0942034137379,85.0,False,True,8572563.690207483,1046857.0601087615,414.2751549844993,food:foraging,0,0,0,0
bull_0,8572459.612103386,1046493.1869187987,RandomWalk,0.9895833399999989,71.0942034137379,85.0,False,True,8572563.690207483,1046857.0601087615,414.2751549844993,,0,0,0,0
bull_0,8572461.418547306,1046497.3967044342,RandomWalk,0.9892361179999989,71.0942034137379,85.0,False,True,8572563.690207483,1046857.0601087615,414.2751549844993,,0,0,0,0
bull_0,8572465.045287924,1046504.1541685415,RandomWalk,0.9888888959999989,71.0942034137379,85.0,False,True,8572563.690207483,1046857.0601087615,414.2751549844993,,0,0,0,0
