AgentID,longitude,latitude,mode,food_consumed,visit_water_source,target_present,target_lon,target_lat,target_name
bull_0,8571309.360406002,1042606.1266485305,RandomWalk,0,True,False,,,
bull_0,8571309.360406002,1042606.1266485305,RandomWalk,0,True,False,,,
bull_0,8571309.360406002,1042606.1266485305,RandomWalk,0,True,False,,,
bull_0,8571309.360406002,1042606.1266485305,RandomWalk,0,True,False,,,
bull_0,8571309.360406002,1042606.1266485305,RandomWalk,0,True,False,,,
bull_0,8571309.360406002,1042606.1266485305,ForagingMode,0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571340.3690629,1042606.1266485305,ForagingMode,15.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571371.377719799,1042606.1266485305,ForagingMode,37.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571402.386376698,1042606.1266485305,ForagingMode,58.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571433.395033596,1042606.1266485305,ForagingMode,69.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571464.403690495,1042606.1266485305,ForagingMode,96.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571495.412347393,1042575.1179916316,ForagingMode,96.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571526.421004292,1042575.1179916316,ForagingMode,96.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571557.42966119,1042575.1179916316,ForagingMode,104.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571588.438318089,1042544.1093347328,ForagingMode,114.0,True,True,8571602.42184362,1042546.8567998256,food
bull_0,8571588.438318089,1042544.1093347328,RandomWalk,114.0,True,False,,,food
bull_0,8571588.438318089,1042544.1093347328,RandomWalk,114.0,True,False,,,
bull_0,8571588.438318089,1042544.1093347328,RandomWalk,114.0,True,False,,,
bull_0,8571588.438318089,1042544.1093347328,RandomWalk,114.0,True,False,,,
bull_0,8571588.438318089,1042544.1093347328,RandomWalk,114.0,True,False,,,
bull_0,8571588.438318089,1042544.1093347328,ForagingMode,114.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571619.446974987,1042544.1093347328,ForagingMode,120.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571650.455631886,1042544.1093347328,ForagingMode,121.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571681.464288784,1042544.1093347328,ForagingMode,138.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571712.472945683,1042544.1093347328,ForagingMode,161.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571743.481602581,1042544.1093347328,ForagingMode,161.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571774.49025948,1042544.1093347328,ForagingMode,179.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571805.498916378,1042575.1179916316,ForagingMode,179.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571836.507573277,1042575.1179916316,ForagingMode,182.0,True,True,8571850.49109881,1042577.8654567243,food
bull_0,8571836.507573277,1042575.1179916316,RandomWalk,182.0,True,False,,,food
bull_0,8571836.507573277,1042575.1179916316,ForagingMode,182.0,True,True,8571974.525726406,1042577.8654567243,food
bull_0,8571867.516230175,1042575.1179916316,ForagingMode,182.0,True,True,8571974.525726406,1042577.8654567243,food
bull_0,8571898.524887074,1042575.1179916316,ForagingMode,182.0,True,True,8571974.525726406,1042577.8654567243,food
bull_0,8571929.533543972,1042575.1179916316,ForagingMode,197.0,True,True,8571974.525726406,1042577.8654567243,food
bull_0,8571960.54220087,1042575.1179916316,ForagingMode,214.0,True,True,8571974.525726406,1042577.8654567243,food
bull_0,8571960.54220087,1042575.1179916316,RandomWalk,214.0,True,False,,,food
bull_0,8571960.54220087,1042575.1179916316,RandomWalk,214.0,True,False,,,
bull_0,8571960.54220087,1042575.1179916316,RandomWalk,214.0,True,False,,,
bull_0,8571960.54220087,1042575.1179916316,RandomWalk,214.0,True,False,,,
bull_0,8571960.54220087,1042575.1179916316,ForagingMode,214.0,True,False,,,food
bull_0,8571960.54220087,1042575.1179916316,ForagingMode,214.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571929.533543972,1042575.1179916316,ForagingMode,214.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571898.524887074,1042606.1266485305,ForagingMode,223.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571867.516230175,1042606.1266485305,ForagingMode,244.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571836.507573277,1042637.1353054293,ForagingMode,272.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571805.498916378,1042637.1353054293,ForagingMode,286.0,True,True,8571726.456471214,1042670.8914274208,food
bull_0,8571805.498916378,1042637.1353054293,RandomWalk,286.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571805.498916378,1042637.1353054293,RandomWalk,286.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571805.498916378,1042637.1353054293,RandomWalk,286.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571805.498916378,1042637.1353054293,RandomWalk,286.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571805.498916378,1042637.1353054293,RandomWalk,286.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,ForagingMode,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571774.49025948,1042668.1439623282,RandomWalk,304.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571743.481602581,1042668.1439623282,ForagingMode,322.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571712.472945683,1042668.1439623282,ForagingMode,332.0,True,True,8571726.456471214,1042670.8914274208,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,RandomWalk,332.0,True,False,,,
bull_0,8571712.472945683,1042668.1439623282,ForagingMode,332.0,True,True,8571881.499755709,1042639.882770522,food
bull_0,8571743.481602581,1042668.1439623282,ForagingMode,332.0,True,True,8571881.499755709,1042639.882770522,food
bull_0,8571774.49025948,1042668.1439623282,ForagingMode,332.0,True,True,8571881.499755709,1042639.882770522,food
bull_0,8571805.498916378,1042668.1439623282,ForagingMode,343.0,True,True,8571881.499755709,1042639.882770522,food
bull_0,8571836.507573277,1042668.1439623282,ForagingMode,347.0,True,True,8571881.499755709,1042639.882770522,food
bull_0,8571867.516230175,1042637.1353054293,ForagingMode,361.0,True,True,8571881.499755709,1042639.882770522,food
