Step,latitude,longitude,ID,timestamp,states
77,-0.960815616666667,101.97345765,14,2015-03-14 02:45:27.000,2
78,-0.960858866666667,101.973527866667,14,2015-03-14 02:50:29.000,1
79,-0.960801533333333,101.973560316667,14,2015-03-14 02:55:27.000,1
80,-0.96078495,101.97356875,14,2015-03-14 03:00:27.000,1
81,-0.960802483333333,101.9735763,14,2015-03-14 03:05:27.000,1
82,-0.960827466666667,101.973635933333,14,2015-03-14 03:10:28.000,1
83,-0.960827766666667,101.973653166667,14,2015-03-14 03:15:27.000,1
84,-0.960825516666667,101.973645616667,14,2015-03-14 03:20:27.000,1
85,-0.9608466,101.97372225,14,2015-03-14 03:25:29.000,1
86,-0.96088585,101.97369715,14,2015-03-14 03:30:27.000,1
87,-0.9608757,101.973708166667,14,2015-03-14 03:35:28.000,1
88,-0.96091555,101.973672083333,14,2015-03-14 03:40:29.000,1
89,-0.960987883333333,101.973625833333,14,2015-03-14 03:45:27.000,1
90,-0.96099505,101.973612033333,14,2015-03-14 03:50:27.000,1
91,-0.960995683333333,101.973615033333,14,2015-03-14 03:55:28.000,1
92,-0.96100795,101.973607783333,14,2015-03-14 04:00:27.000,1
93,-0.961086366666667,101.973594383333,14,2015-03-14 04:05:27.000,1
94,-0.961034716666667,101.97366955,14,2015-03-14 04:10:32.000,1
95,-0.961068816666667,101.973703166667,14,2015-03-14 04:15:28.000,1
96,-0.961057533333333,101.973707366667,14,2015-03-14 04:20:28.000,1
97,-0.961066766666667,101.973711366667,14,2015-03-14 04:25:27.000,1
98,-0.96112145,101.97377925,14,2015-03-14 04:30:27.000,1
99,-0.9611161,101.973793083333,14,2015-03-14 04:35:28.000,2
100,-0.961374566666667,101.9737783,14,2015-03-14 04:40:27.000,2
101,-0.961874766666667,101.973728183333,14,2015-03-14 04:45:26.000,1
102,-0.961869666666667,101.97372675,14,2015-03-14 04:50:27.000,2
103,-0.962504033333333,101.974171233333,14,2015-03-14 04:55:27.000,2
104,-0.9626457,101.974272833333,14,2015-03-14 05:00:27.000,2
105,-0.96294855,101.9743157,14,2015-03-14 05:05:31.000,1
106,-0.9629391,101.974299466667,14,2015-03-14 05:10:28.000,1
107,-0.96297725,101.974233983333,14,2015-03-14 05:15:28.000,1
108,-0.962973016666667,101.974231066667,14,2015-03-14 05:20:28.000,1
109,-0.962993133333333,101.974200483333,14,2015-03-14 05:25:27.000,1
110,-0.9630075,101.974182633333,14,2015-03-14 05:30:27.000,1
111,-0.962919683333333,101.974297233333,14,2015-03-14 05:35:29.000,2
112,-0.9627698,101.9744271,14,2015-03-14 05:40:31.000,1
113,-0.962818683333333,101.974462016667,14,2015-03-14 05:45:27.001,1
114,-0.96291375,101.974447533333,14,2015-03-14 05:50:33.000,1
115,-0.962986466666667,101.97444255,14,2015-03-14 05:55:28.000,1
116,-0.962986933333333,101.97443615,14,2015-03-14 06:00:29.000,1
117,-0.9630076,101.974446,14,2015-03-14 06:05:28.000,1
118,-0.9629325,101.974401383333,14,2015-03-14 06:10:32.000,1
119,-0.962948783333333,101.974414166667,14,2015-03-14 06:15:34.000,1
120,-0.962871083333333,101.974432116667,14,2015-03-14 06:20:29.000,1
121,-0.9627641,101.974466883333,14,2015-03-14 06:25:34.000,1
122,-0.962699783333333,101.974381333333,14,2015-03-14 06:30:42.000,1
123,-0.96274915,101.974506166667,14,2015-03-14 06:35:37.000,1
124,-0.96275775,101.97459105,14,2015-03-14 06:40:28.000,1
125,-0.962719633333333,101.974591033333,14,2015-03-14 06:45:36.000,1
126,-0.9627191,101.9745753,14,2015-03-14 06:50:28.000,1
127,-0.9627504,101.9746033,14,2015-03-14 06:55:27.000,2
128,-0.962864083333333,101.974609433333,14,2015-03-14 07:00:27.000,2
129,-0.9629481,101.974665683333,14,2015-03-14 07:05:27.000,2
130,-0.962936983333333,101.974820783333,14,2015-03-14 07:10:28.000,1
131,-0.962963066666667,101.974825933333,14,2015-03-14 07:15:28.000,1
132,-0.96295935,101.97484785,14,2015-03-14 07:20:28.000,2
133,-0.963075816666666,101.974905366667,14,2015-03-14 07:25:28.000,2
134,-0.963181983333333,101.974860616667,14,2015-03-14 07:30:27.000,2
135,-0.96310285,101.9748791,14,2015-03-14 07:35:33.000,2
136,-0.963207966666666,101.97476255,14,2015-03-14 07:40:28.000,2
137,-0.96334155,101.974719633333,14,2015-03-14 07:45:27.000,2
138,-0.9632618,101.974377866667,14,2015-03-14 07:50:29.000,2
139,-0.963100133333333,101.974385566667,14,2015-03-14 07:55:38.000,2
140,-0.96298625,101.9744656,14,2015-03-14 08:00:36.000,2
141,-0.962807983333333,101.974441316667,14,2015-03-14 08:05:28.000,2
142,-0.9625381,101.974204183333,14,2015-03-14 08:10:28.000,2
143,-0.962207266666667,101.97399575,14,2015-03-14 08:15:27.000,2
