AgentID,longitude,latitude,mode,food_consumed,visit_water_source,target_present,target_lon,target_lat,target_name
bull_0,8571313.360406002,1042614.1266485305,TargetedWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,RandomWalk,0,True,False,,,
bull_0,8571313.360406002,1042614.1266485305,ForagingMode,0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571344.3690629,1042614.1266485305,ForagingMode,15.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571375.377719799,1042614.1266485305,ForagingMode,37.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571406.386376698,1042614.1266485305,ForagingMode,58.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571437.395033596,1042614.1266485305,ForagingMode,69.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571468.403690495,1042614.1266485305,ForagingMode,96.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571499.412347393,1042614.1266485305,ForagingMode,96.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571530.421004292,1042614.1266485305,ForagingMode,97.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571561.42966119,1042614.1266485305,ForagingMode,125.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571592.438318089,1042645.1353054293,ForagingMode,150.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571623.446974987,1042645.1353054293,ForagingMode,166.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571654.455631886,1042645.1353054293,ForagingMode,185.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571685.464288784,1042676.1439623282,ForagingMode,195.0,True,True,8571695.447814316,1042670.8914274208,food
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,True,8571695.447814316,1042670.8914274208,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,True,8571695.447814316,1042670.8914274208,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,True,8571695.447814316,1042670.8914274208,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,True,8571695.447814316,1042670.8914274208,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
bull_0,8571685.464288784,1042676.1439623282,RandomWalk,195.0,True,False,,,
