boundary_patch_id,reward,penalty
1,0.0,-0.0
2,0.0,-0.0
3,0.0,-0.0
4,0.0,-0.0
5,0.0,-0.0
6,0.0,-0.0
7,0.0,-0.0
8,0.0,-0.0
9,0.0,-0.0
10,2.4662924383455386e-05,-2.4662924383455386e-05
11,9.293224072075783e-05,-9.293224072075783e-05
12,0.0,-0.0
13,1.137900117970011e-06,-1.137900117970011e-06
14,0.0,-0.0
15,0.0,-0.0
16,0.0,-0.0
17,0.0,-0.0
18,0.0,-0.0
19,0.0,-0.0
20,0.0,-0.0
21,0.0,-0.0
22,0.0,-0.0
23,0.0,-0.0
24,0.0,-0.0
25,0.0,-0.0
26,0.0,-0.0
27,0.0,-0.0
28,0.0,-0.0
29,0.0,-0.0
30,0.000325447402312697,-0.000325447402312697
31,0.0,-0.0
32,0.0,-0.0
33,0.0,-0.0
34,0.0018990531873611346,-0.0018990531873611346
35,0.006852821224127049,-0.006852821224127049
36,0.0,-0.0
37,4.3462589162122556e-05,-4.3462589162122556e-05
38,0.00032688187934164394,-0.00032688187934164394
39,0.0,-0.0
40,0.0,-0.0
41,1.6803404146401632e-05,-1.6803404146401632e-05
42,0.004249270285931791,-0.004249270285931791
43,1.588183929020171e-05,-1.588183929020171e-05
44,4.880623507184736e-05,-4.880623507184736e-05
45,0.0007440846622188004,-0.0007440846622188004
46,0.12759083347266006,-0.12759083347266006
