,Unnamed: 0,reward_estimate
134,134,16.405684519352175
137,137,12.345895560419326
138,138,9.86267903096966
147,147,7.352313797753504
47,47,7.57144218739897
86,86,4.016925198010663
94,86,4.016925198010663
175,175,2.2758153912372534
73,73,1.641830370631317
144,144,1.3864728220449292
65,65,0.8545565515157317
148,148,0.6197590196065744
90,90,0.5543733901720709
80,80,0.5512930154581985
180,180,0.5068078375813384
139,139,0.3165681962345841
170,170,0.1806583994565609
78,78,0.1508647576219264
154,154,0.1103232175943945
58,58,0.0969330106607377
89,89,0.0948637801071786
92,92,0.09476455917135
74,74,0.0866638775204024
182,182,0.0865314038987484
97,97,0.085767140598851
167,167,0.0856631782501612
51,51,0.0853761511202283
61,61,0.082868529925398
35,35,0.0821100261976724
132,132,0.0812400028297836
133,133,0.0807051853246536
12,12,0.080615672743836
75,75,0.0803713373024105
6,6,0.0801970006133572
123,123,0.0799766301245601
151,151,0.0798721705832125
158,158,0.077001698679621
42,42,0.0767412116824808
13,13,0.0764855195311805
122,122,0.0759930727539944
59,59,0.0758705544644296
31,31,0.074763237893473
101,101,0.0732870684227481
26,26,0.0727265219794894
127,127,0.0725812054853007
7,7,0.0712822354180662
67,67,0.0709967170664817
129,129,0.0707928456383042
9,9,0.0698352535924298
79,79,0.069496359811515
62,62,0.0688467296228869
156,156,0.0688154023689425
173,173,0.0678386781382821
118,118,0.0678113546110129
116,116,0.067188829027133
162,162,0.0663884647440424
115,115,0.0655608283420849
29,29,0.0643083136465974
36,36,0.0640651976171348
39,39,0.0639205341656567
52,52,0.0637646184596203
153,153,0.0636040284759192
142,142,0.0634091430676533
82,82,0.0632916604001475
149,149,0.0612113944419886
16,16,0.0603101209327236
81,81,0.059766406602344
114,114,0.0597062461174519
96,96,0.0596645590314776
183,183,0.0587272501620461
15,15,0.0584260207711316
172,172,0.0578292096525507
30,30,0.0577428423567144
100,100,0.0566845708643666
11,11,0.0561985974661349
112,112,0.0557245068979979
64,64,0.0556260497015066
102,102,0.0553032547553849
23,23,0.0544282331884171
10,10,0.0542836339805805
185,185,0.05386190443845
17,17,0.0538452861350385
120,120,0.053057868549483
56,56,0.0528730388016035
50,50,0.0525764604233174
24,24,0.0523370364341256
121,121,0.0518133501387469
152,152,0.0515399951483317
41,41,0.0512945862865413
165,165,0.0512854190729445
21,21,0.0511681971540733
85,85,0.0506478664145878
98,98,0.050605870994636
5,5,0.0505054174652066
1,1,0.0492410540358016
125,125,0.0488428262554864
176,176,0.0484957007043509
66,66,0.0484361455987504
43,43,0.0482610030102508
91,91,0.0477902711753608
181,181,0.0477883945209861
2,2,0.0474023918615724
25,25,0.0473705942494874
184,184,0.047290125944227
105,105,0.0470422471283057
163,163,0.0464699385207885
174,174,0.0462082281923315
8,8,0.0460581057999343
49,49,0.0455737754714217
48,48,0.0452916431895624
157,157,0.0448276883961214
20,20,0.0445154784910715
136,136,0.0443731816737456
159,159,0.0433206663727792
140,140,0.0424701610233692
104,104,0.0424630729137961
161,161,0.042216042888744
4,4,0.0420510152944868
55,55,0.0420116497267134
103,103,0.0414473004104888
69,69,0.0414383305565032
135,135,0.041307639865769
131,131,0.0410001841113951
44,44,0.0404870179544261
45,45,0.0401978974467883
18,18,0.04013152336095
84,84,0.0401018703859906
166,166,0.0397947428962966
83,83,0.0397301396959906
113,113,0.0390463755994788
150,150,0.0389500000443898
60,60,0.0386582242588101
93,93,0.0378565980915036
145,145,0.0377483447869341
14,14,0.0369919365912335
171,171,0.0369229831828448
124,124,0.0369122864933498
72,72,0.0365011264937443
111,111,0.03631271144572
88,88,0.0362780548737396
106,106,0.035885598203383
0,0,0.0353133554530917
53,53,0.0349581943306684
141,141,0.0347616469101513
168,168,0.0346706636575535
76,76,0.0345874393256948
40,40,0.0342076074001753
169,169,0.0340918923213982
178,178,0.0338669512513234
54,54,0.0337717492635089
130,130,0.0337230386291275
68,68,0.0335319042764535
164,164,0.0331474387563107
99,99,0.0328082454680644
108,108,0.032310828884221
77,77,0.0322530184511074
46,46,0.0319274494981127
179,179,0.0316311746697537
146,146,0.0310063007916533
95,95,0.0306507913199816
71,71,0.0306321564855398
28,28,0.0304736495792919
110,110,0.0290124594215998
160,160,0.0288480235378413
119,119,0.026739881230117
33,33,0.0263505903013957
27,27,0.0262198317195733
107,107,0.0247957976824737
37,37,0.0246838282794391
155,155,0.0241691374221531
177,177,0.0232918288273586
109,109,0.0229789550523543
63,63,0.0223203966662918
3,3,0.0219249113181185
38,38,0.0215442671679326
57,57,0.019870834946698
126,126,0.0191939858465659
143,143,0.0190036146637392
34,34,0.0181666304908255
117,117,0.0181647750729512
19,19,0.0176716143269146
70,70,0.0162116090685751
32,32,0.0149704297379728
22,22,0.0116257397215633
87,87,0.010977506520673
128,128,0.0069604264260861
