AgentID,longitude,latitude,mode,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated
bull_0,8572577.0,1045841.0,RandomWalk,1,71.06731202605323,0,False,False,,,,,0,0,0,0
bull_0,8572585.476705499,1045835.5803451167,RandomWalk,0.999652778,71.06731202605323,25.0,False,False,,,,,0,0,0,0
bull_0,8572587.112511804,1045838.3795889089,RandomWalk,0.9993055559999999,71.06731202605323,25.0,False,False,,,,,0,0,0,0
bull_0,8572585.815275526,1045840.1568059014,RandomWalk,0.9989583339999999,71.06731202605323,25.0,False,False,,,,,0,0,0,0
bull_0,8572585.021861287,1045841.5085798744,RandomWalk,0.9986111119999999,71.06731202605323,25.0,False,False,,,,,0,0,0,0
bull_0,8572581.005580142,1045846.6864933072,RandomWalk,0.9982638899999998,71.06731202605323,25.0,False,False,,,,,0,0,0,0
bull_0,8572581.005580142,1045846.6864933072,ForagingMode,0.9979166679999998,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,,food:foraging,0,0,0,0
bull_0,8572585.6178086,1045837.9528741745,ForagingMode,0.9975694459999997,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,606.8181429623667,food:foraging,0,0,0,0
bull_0,8572589.916416483,1045820.7291057962,ForagingMode,0.9972222239999997,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,597.5874863125657,food:foraging,0,0,0,0
bull_0,8572561.188069046,1045718.5045079663,ForagingMode,0.9968750019999997,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,579.9788701423238,food:foraging,0,0,0,0
bull_0,8572561.787224611,1045716.5043564786,ForagingMode,0.9965277799999996,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,483.4270076061038,food:foraging,0,0,0,0
bull_0,8572564.119339855,1045666.7749191712,ForagingMode,0.9961805579999996,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,481.34793763927973,food:foraging,0,0,0,0
bull_0,8572594.757739078,1045619.6163505046,ForagingMode,0.9958333359999996,71.06731202605323,25.0,False,True,8572656.716178179,1045244.6099500229,432.20068908264676,food:foraging,0,0,0,0
bull_0,8572622.048391845,1045584.1212237376,ForagingMode,0.9954861139999995,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,380.0903163433682,food:foraging,0,0,0,0
bull_0,8572639.387754122,1045423.501471442,ForagingMode,0.9951388919999995,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,341.27666253154064,food:foraging,0,0,0,0
bull_0,8572626.507807365,1045377.3898646968,ForagingMode,0.9947916699999995,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,179.72882550098285,food:foraging,0,0,0,0
bull_0,8572634.757700201,1045361.1581347794,ForagingMode,0.9944444479999994,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,136.1728732459073,food:foraging,0,0,0,0
bull_0,8572634.774831105,1045360.843041218,ForagingMode,0.9940972259999994,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,118.59871046997026,food:foraging,0,0,0,0
bull_0,8572633.554012854,1045329.9113649298,ForagingMode,0.9937500039999994,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,118.28590025942667,food:foraging,0,0,0,0
bull_0,8572646.632804452,1045284.0493813094,ForagingMode,0.9934027819999993,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,88.39014248015181,food:foraging,0,0,0,0
bull_0,8572655.974304838,1045243.4276400376,ForagingMode,0.9930555599999993,71.06731202605323,44.0,False,True,8572656.716178179,1045244.6099500229,40.708023360624196,food:foraging,0,0,0,0
bull_0,8572655.974304838,1045243.4276400376,RandomWalk,0.9927083379999992,71.06731202605323,44.0,False,False,,,,food:foraging,0,0,0,0
bull_0,8572656.373184249,1045243.0964759714,RandomWalk,0.9923611159999992,71.06731202605323,44.0,False,False,,,,,0,0,0,0
bull_0,8572656.373184249,1045243.0964759714,ForagingMode,0.9920138939999992,71.06731202605323,44.0,False,True,8572160.577667799,1045244.6099500229,,food:foraging,0,0,0,0
bull_0,8572591.861348292,1045253.4501704753,ForagingMode,0.9916666719999991,71.06731202605323,44.0,False,True,8572160.577667799,1045244.6099500229,495.79782647323617,food:foraging,0,0,0,0
