AgentID,longitude,latitude,mode,ROW,COL,fitness,daily_dry_matter_intake,food_consumed,visit_water_source,target_present,target_lon,target_lat,distance_to_target,target_name,num_days_water_source_visit,num_days_food_depreceation,num_thermoregulation_steps,num_steps_thermoregulated,current_proximity_to_plantations,current_proximity_to_water_sources
bull_0,8570909.0,1049234.0,RandomWalk,,,1,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,47.75981574503821
bull_0,8570911.982029047,1049241.799730255,RandomWalk,75,121,0.9996527777777777,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.505403837,1049242.8764140874,RandomWalk,74,122,0.9993055555555554,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570914.954369392,1049244.4939045089,RandomWalk,74,122,0.9989583333333332,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570914.751791395,1049244.2768910439,RandomWalk,74,122,0.9986111111111109,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570915.197990302,1049245.3418601023,RandomWalk,74,122,0.9982638888888886,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.549244754,1049246.4295003538,RandomWalk,74,122,0.9979166666666663,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570911.306125255,1049245.4997443403,RandomWalk,74,122,0.9975694444444441,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570912.100399643,1049244.6489254124,RandomWalk,74,122,0.9972222222222218,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570913.158721289,1049238.4445041395,RandomWalk,74,122,0.9968749999999995,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570916.009561965,1049236.4082357222,RandomWalk,75,122,0.9965277777777772,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570918.856418833,1049235.6670935275,RandomWalk,75,122,0.996180555555555,74.19172975968779,0,False,False,,,,,0,0,0,0,47.75981574503821,98.2700361249552
bull_0,8570935.274129745,1049225.9766125483,RandomWalk,75,122,0.9958333333333327,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570933.81752764,1049225.2735917987,RandomWalk,75,122,0.9954861111111104,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570936.189673379,1049224.6623835969,RandomWalk,75,122,0.9951388888888881,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570938.597907444,1049217.005787543,RandomWalk,75,122,0.9947916666666659,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570939.406562941,1049217.1387187014,RandomWalk,75,122,0.9944444444444436,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570939.55473048,1049214.0753355285,RandomWalk,75,122,0.9940972222222213,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570937.780201508,1049212.1577163038,RandomWalk,75,122,0.993749999999999,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570929.22986899,1049216.6383791608,RandomWalk,75,122,0.9934027777777767,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570935.367065331,1049214.8230435054,RandomWalk,75,122,0.9930555555555545,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570935.503817178,1049214.8700819954,RandomWalk,75,122,0.9927083333333322,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570934.035590865,1049215.1774415178,RandomWalk,75,122,0.9923611111111099,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570936.390372064,1049214.385198754,RandomWalk,75,122,0.9920138888888876,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570936.2345817,1049214.965849688,RandomWalk,75,122,0.9916666666666654,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570932.29167959,1049217.809139983,RandomWalk,75,122,0.9913194444444431,74.19172975968779,0,False,False,,,,,0,0,0,0,48.104053883222775,97.29337079164233
bull_0,8570936.599626895,1049227.4677880502,RandomWalk,75,122,0.9909722222222208,74.19172975968779,0,False,False,,,,,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570936.599626895,1049227.4677880502,ForagingMode,75,122,0.9906249999999985,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,,food:foraging,0,0,0,0,47.16990566028302,97.51410154434076
bull_0,8570987.025941884,1049254.919421102,ForagingMode,75,122,0.9902777777777763,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,332.192223597519,forest:foraging,0,0,0,0,45.880278987817846,98.71676655968832
bull_0,8571031.914607339,1049284.6223195477,ForagingMode,74,122,0.989930555555554,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,275.6640847789287,forest:foraging,0,0,0,0,43.657759905886145,98.2700361249552
bull_0,8571059.05858337,1049303.358607833,ForagingMode,74,122,0.9895833333333317,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,222.2220779577442,forest:foraging,0,0,0,0,43.32435804486894,97.41663102366043
bull_0,8571090.697379244,1049353.2827984001,ForagingMode,74,123,0.9892361111111094,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,189.48912110031088,forest:foraging,0,0,0,0,41.7612260356422,95.1892851112981
bull_0,8571110.66638039,1049379.075052193,ForagingMode,74,123,0.9888888888888872,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,133.4247140204186,forest:foraging,0,0,0,0,40.80441152620633,94.66784036831093
bull_0,8571094.562576165,1049379.4674322086,RandomWalk,73,123,0.9885416666666649,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,133.4247140204186,,0,0,0,0,40.80441152620633,94.66784036831093
bull_0,8571135.147835003,1049429.4853369147,ForagingMode,73,123,0.9881944444444426,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,forest:foraging,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571131.717631713,1049434.0952521986,RandomWalk,73,123,0.9878472222222203,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571135.58455696,1049432.7998554558,RandomWalk,73,123,0.987499999999998,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571131.721019054,1049428.80228367,RandomWalk,73,123,0.9871527777777758,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571133.43514808,1049428.1806556268,RandomWalk,73,123,0.9868055555555535,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571133.712457897,1049428.8233273835,RandomWalk,73,123,0.9864583333333312,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571132.731537629,1049429.3502555692,RandomWalk,73,123,0.9861111111111089,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,116.63925641444466,,0,0,0,0,39.293765408777,92.43916918709297
bull_0,8571165.29646636,1049416.797512138,ForagingMode,73,123,0.9857638888888867,74.19172975968779,0,False,True,8571199.309303934,1049430.7786313638,66.59308690511182,forest:foraging,0,0,0,0,38.3275357934736,91.92388155425118
bull_0,8571187.731137462,1049438.8946434897,ForagingMode,73,123,0.9854166666666644,74.19172975968779,1.0,False,True,8571199.309303934,1049430.7786313638,36.774241183628874,forest:foraging,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571187.731137462,1049438.8946434897,RandomWalk,73,124,0.9850694444444421,74.19172975968779,1.0,False,False,,,,forest:foraging,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571184.861632025,1049437.2772488703,RandomWalk,73,124,0.9847222222222198,74.19172975968779,1.0,False,False,,,,,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571186.435933935,1049438.850126123,RandomWalk,73,124,0.9843749999999976,74.19172975968779,1.0,False,False,,,,,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571185.749533664,1049441.2564222699,RandomWalk,73,124,0.9840277777777753,74.19172975968779,1.0,False,False,,,,,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571185.749533664,1049441.2564222699,ForagingMode,73,124,0.983680555555553,74.19172975968779,1.0,False,True,8571602.42184362,1049492.7959451613,,food:foraging,0,0,0,0,37.36308338453881,91.4166286842826
bull_0,8571216.574649502,1049457.412074382,ForagingMode,73,124,0.9833333333333307,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,forest:foraging,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571217.273369031,1049460.2008412636,RandomWalk,73,124,0.9829861111111085,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571218.56873301,1049460.687033466,RandomWalk,73,124,0.9826388888888862,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571221.387417205,1049460.6643443718,RandomWalk,73,124,0.9822916666666639,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571209.120794727,1049460.9349225098,RandomWalk,73,124,0.9819444444444416,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571206.903157162,1049451.9991029438,RandomWalk,73,124,0.9815972222222193,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571206.144109119,1049450.9945383538,RandomWalk,73,124,0.9812499999999971,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571206.13408786,1049452.0001608906,RandomWalk,73,124,0.9809027777777748,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571206.861870537,1049455.281927169,RandomWalk,73,124,0.9805555555555525,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571208.595573463,1049457.9749900952,RandomWalk,73,124,0.9802083333333302,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571215.09299902,1049457.2801800512,RandomWalk,73,124,0.979861111111108,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571213.347331377,1049456.308312177,RandomWalk,73,124,0.9795138888888857,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571211.790531795,1049457.6234097888,RandomWalk,73,124,0.9791666666666634,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571210.077004382,1049454.68842909,RandomWalk,73,124,0.9788194444444411,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571214.19438046,1049453.9990258198,RandomWalk,73,124,0.9784722222222189,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,37.107950630558946,90.55385138137417
bull_0,8571216.354718026,1049455.0793919002,RandomWalk,73,124,0.9781249999999966,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571217.532978568,1049453.2782526896,RandomWalk,73,124,0.9777777777777743,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571216.668102736,1049451.3701293194,RandomWalk,73,124,0.977430555555552,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571217.92165945,1049450.1743753664,RandomWalk,73,124,0.9770833333333298,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571221.471605033,1049445.831965164,RandomWalk,73,124,0.9767361111111075,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.40054944640259,90.91754506144565
bull_0,8571223.792208113,1049442.9756790497,RandomWalk,73,124,0.9763888888888852,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.40054944640259,90.91754506144565
bull_0,8571225.176264815,1049449.67983037,RandomWalk,73,124,0.9760416666666629,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.138621999185304,90.0499861188218
bull_0,8571227.577998437,1049445.6245589512,RandomWalk,73,124,0.9756944444444406,74.19172975968779,4.0,False,True,8571602.42184362,1049492.7959451613,419.84775371983784,,0,0,0,0,36.40054944640259,90.91754506144565
