expected_rewards_attacker_withrangers,expected_penalty_attacker_withrangers,expected_rewards_defender_withrangers,expected_penalty_defender_withrangers,expected_rewards_attacker_withoutrangers,expected_penalty_attacker_withoutrangers,expected_rewards_defender_withoutrangers,expected_penalty_defender_withoutrangers,num_visits_to_target_attacker_withoutrangers,num_visits_to_target_attacker_withrangers,prob_attack_target_withoutrangers,prob_attack_target_withrangers
0.0,-340.7084210428606,3601.3506865910813,0.0,0.0,-11.748566242857462,124.18450643417407,0.0,0,0,0.0,0.0
0.0,-8418.810207798453,2003.2309763759654,0.0,0.0,-290.3038002689088,69.07693021986162,0.0,0,0,0.0,0.0
0.0,-5045.911669753882,8203.942427552403,0.0,0.0,-173.9969541294428,282.89456646732714,0.0,0,0,0.0,0.0
0.0,-169.46209369625223,9106.15639642632,0.0,0.0,-5.843520472284467,314.0053929802198,0.0,0,0,0.0,0.0
0.0,-6791.845900256876,1955.3005175767253,0.0,0.0,-234.20158276748128,67.42415577850872,0.0,0,0,0.0,0.0
0.0,-3237.8430266135374,1053.5690539767186,0.0,0.0,-111.64975953839586,36.329967378507135,0.0,0,0,0.0,0.0
0.0,-7281.327156765444,6818.709948355574,0.0,0.0,-251.08024678501442,235.1279292536347,0.0,0,0,0.0,0.0
0.0,-2185.478024033687,4705.024673990017,0.0,0.0,-75.36131117357426,162.24223013758458,0.0,0,0,0.0,0.0
0.0,-7056.87121496789,5963.682913845925,0.0,0.0,-243.34038672303538,205.64423840847937,0.0,0,0,0.0,0.0
33.61242584857949,-7317.894149053201,4521.431004511892,-1.3031534136653455,0.0,-253.70813951214134,156.75600449011893,0.0,0,5,0.0,0.005387931034482759
17.448198337345637,-3047.485611251575,1692.4590587946855,-1.5338790548552197,0.0,-105.42652925410725,58.54993500695129,0.0,0,3,0.0,0.003232758620689655
0.0,-1976.5152157046366,2055.5430006829133,0.0,0.0,-68.15569709326195,70.88079312699601,0.0,0,0,0.0,0.0
0.0,-6463.489212687341,8595.217798744223,0.0,0.0,-222.87893836853144,296.3868206463547,0.0,0,0,0.0,0.0
0.0,-4053.1197493538534,6753.053701863361,0.0,0.0,-139.76274997772225,232.863920753909,0.0,0,0,0.0,0.0
0.0,-6445.089223097391,1578.7617777575604,0.0,0.0,-222.24445596887747,54.44006130198592,0.0,0,0,0.0,0.0
0.0,-7451.8325273957735,6574.619553077385,0.0,0.0,-256.9597423239966,226.71101907163458,0.0,0,0,0.0,0.0
0.0,-3300.8009907579585,8243.640451480005,0.0,0.0,-113.82072381923855,284.2634638441398,0.0,0,0,0.0,0.0
0.0,-9088.784792565888,8142.921807965975,0.0,0.0,-313.40637215744204,280.7904071712431,0.0,0,0,0.0,0.0
0.0,-1066.274679408581,2165.506515600733,0.0,0.0,-36.768092393399485,74.6726384689914,0.0,0,0,0.0,0.0
0.0,-2487.5459812908653,1263.0185087167,0.0,0.0,-85.77744763071992,43.55236236954193,0.0,0,0,0.0,0.0
0.0,-2722.451145399948,6438.67336757038,0.0,0.0,-93.87762570344435,222.02321957139455,0.0,0,0,0.0,0.0
0.0,-611.7374271584002,4403.102372143477,0.0,0.0,-21.094394039945087,151.83111628080985,0.0,0,0,0.0,0.0
0.0,-2078.8093230803306,4734.068901982093,0.0,0.0,-71.68308010621882,163.24375524076095,0.0,0,0,0.0,0.0
0.0,-7323.095390715899,947.7082789441854,0.0,0.0,-252.5205307143469,32.67959582566081,0.0,0,0,0.0,0.0
6.308580425136432,-6138.201993476511,6074.6021130473055,-1.4469767888681917,0.0,-211.89046795172882,209.69500282364177,0.0,0,1,0.0,0.0010775862068965517
0.0,-175.75178953016902,5388.560377258184,0.0,0.0,-6.060406535523099,185.81242680200947,0.0,0,0,0.0,0.0
0.0,-7599.972317786852,6363.425618204699,0.0,0.0,-262.0680109581644,219.42846959326678,0.0,0,0,0.0,0.0
0.0,-8532.41180327009,8314.423933381773,0.0,0.0,-294.22109666447994,286.70427356489375,0.0,0,0,0.0,0.0
0.0,-6876.184578744216,5230.424840947771,0.0,0.0,-237.10981306014378,180.35947727405951,0.0,0,0,0.0,0.0
0.0,-213.68065234523044,1629.4562378532814,0.0,0.0,-7.368298356731997,56.188146132870834,0.0,0,0,0.0,0.0
0.0,-663.5032489563328,7680.2194432683145,0.0,0.0,-22.879422377804488,264.83515321615323,0.0,0,0,0.0,0.0
0.0,-7655.150115904509,6063.498678515835,0.0,0.0,-263.9706936518833,209.08616132813407,0.0,0,0,0.0,0.0
0.0,-1515.2175710018637,5735.252881465482,0.0,0.0,-52.2488817586841,197.76734074018984,0.0,0,0,0.0,0.0
23.189429293306898,-3406.9681751834014,8617.24726695556,-21.670382585385585,5.797357323326724,-114.30304483840516,289.10678060132517,-5.417595646346396,1,4,0.03125,0.004310344827586207
53.86849681959956,-6931.799906398049,1946.9481476628625,-10.178184319294571,7.69549954565708,-233.31791215889038,65.53245665314607,-1.454026331327796,1,7,0.03125,0.007543103448275862
0.0,-2754.414274229125,7213.957574076032,0.0,0.0,-94.97980255962646,248.75715772675704,0.0,0,0,0.0,0.0
0.0,-3649.848140327014,7672.550405177597,0.0,0.0,-125.85683242507011,264.5707036268122,0.0,0,0,0.0,0.0
0.0,-9044.948749046103,4350.667812548484,0.0,0.0,-311.8947844498654,150.02302801891173,0.0,0,0,0.0,0.0
0.0,-8260.928104927749,1773.7005229769013,0.0,0.0,-284.8595898250987,61.16208699920297,0.0,0,0,0.0,0.0
0.0,-4505.181273023741,8381.930202181064,0.0,0.0,-155.35107838012655,289.03207593727524,0.0,0,0,0.0,0.0
