Step,longitude,latitude,timestamp,t
630,77.05977229368726,9.3808155557343,2010-01-03 04:30:00,2010-01-03 04:30:00
640,77.05746555581077,9.379464840647485,2010-01-03 05:20:00,2010-01-03 05:20:00
650,77.05530566505585,9.378323697387437,2010-01-03 06:10:00,2010-01-03 06:10:00
660,77.05475389866142,9.378163327198486,2010-01-03 07:00:00,2010-01-03 07:00:00
670,77.05280959094043,9.376835421076374,2010-01-03 07:50:00,2010-01-03 07:50:00
680,77.05290505638284,9.376766675525436,2010-01-03 08:40:00,2010-01-03 08:40:00
690,77.0529624572144,9.376633015793214,2010-01-03 09:30:00,2010-01-03 09:30:00
700,77.05160478580535,9.376046809386636,2010-01-03 10:20:00,2010-01-03 10:20:00
710,77.05145003509938,9.376357117051729,2010-01-03 11:10:00,2010-01-03 11:10:00
720,77.05249275798165,9.375251121724746,2010-01-03 12:00:00,2010-01-03 12:00:00
730,77.0528197198668,9.375083831260016,2010-01-03 12:50:00,2010-01-03 12:50:00
740,77.05369065876117,9.376901621004189,2010-01-03 13:40:00,2010-01-03 13:40:00
750,77.0551306040303,9.379009534336436,2010-01-03 14:30:00,2010-01-03 14:30:00
760,77.05514310429903,9.379413354742528,2010-01-03 15:20:00,2010-01-03 15:20:00
770,77.05497306126738,9.379247492575734,2010-01-03 16:10:00,2010-01-03 16:10:00
780,77.05377168898222,9.377950242097723,2010-01-03 17:00:00,2010-01-03 17:00:00
790,77.05336678084474,9.376968787473915,2010-01-03 17:50:00,2010-01-03 17:50:00
800,77.05305635266143,9.376458972616213,2010-01-03 18:40:00,2010-01-03 18:40:00
810,77.05299861656178,9.376532292758794,2010-01-03 19:30:00,2010-01-03 19:30:00
820,77.05234013854556,9.37556290970452,2010-01-03 20:20:00,2010-01-03 20:20:00
830,77.05108835198112,9.377004353304129,2010-01-03 21:10:00,2010-01-03 21:10:00
840,77.04886194509442,9.378691493637923,2010-01-03 22:00:00,2010-01-03 22:00:00
